HTS Code,Material,Classification,Chapter,Chapter Description,Declaration Required,Notes
0402.99.68,Aluminum,Derivative Aluminum Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
0402.99.70,Aluminum,Derivative Aluminum Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
0402.99.90,Aluminum,Derivative Aluminum Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2106.90.9998,Aluminum,Derivative Aluminum Article (Other Chapters),21,Chapter 21: Miscellaneous edible preparations,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2203.00.0060,Aluminum,Derivative Aluminum Article (Other Chapters),22,"Chapter 22: Beverages, spirits and vinegar",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2203.00.0090,Aluminum,Derivative Aluminum Article (Other Chapters),22,"Chapter 22: Beverages, spirits and vinegar",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2710.19.3050,Aluminum,Derivative Aluminum Article (Other Chapters),27,"Chapter 27: Mineral fuels, mineral oils",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2903.43.10,Aluminum,Derivative Aluminum Article (Other Chapters),29,Chapter 29: Organic chemicals,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2903.45.10,Aluminum,Derivative Aluminum Article (Other Chapters),29,Chapter 29: Organic chemicals,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2903.49.00,Aluminum,Derivative Aluminum Article (Other Chapters),29,Chapter 29: Organic chemicals,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2903.51.10,Aluminum,Derivative Aluminum Article (Other Chapters),29,Chapter 29: Organic chemicals,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
2903.59.90,Aluminum,Derivative Aluminum Article (Other Chapters),29,Chapter 29: Organic chemicals,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3004.90.9244,Aluminum,Derivative Aluminum Article (Other Chapters),30,Chapter 30: Pharmaceutical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3208.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3208.20.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3208.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3209.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3209.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3213.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
