"steel tariffs","aluminum tariffs"
"7301.20.10","7610.10.00"
"7301.20.50","7610.90.00"
"7302.30.00","7612.90.10"
"7307.21.10","7615.10.2015"
"7307.21.50","7615.10.2025"
"7307.22.10","7615.10.3015"
"7307.22.50","7615.10.3025"
"7307.23.00","7615.10.5020"
"7307.29.00","7615.10.5040"
"7307.91.10","7615.10.7125"
"7307.91.30","7615.10.7130"
"7307.91.50","7615.10.7155"
"7307.92.30","7615.10.7180"
"7307.92.90","7615.10.9100"
"7307.93.30","7615.20.0000"
"7307.93.60","7616.10.9090"
"7307.93.90","7616.99.1000"
"7307.99.10","7616.99.5130"
"7307.99.30","7616.99.5140"
"7307.99.50","7616.99.5190"
"7308.10.00","7612.10.0000"
"7308.20.00","7612.90.5000"
"7308.30.10","7613.00.0000"
"7308.30.50","7614.10.10"
"7308.40.00","6603.90.8100"
"7308.90.30","8302.10.3000"
"7308.90.60","8302.10.6030"
"7308.90.70","8302.10.6060"
"7308.90.95","8302.10.6090"
"7309.00.00","8302.20.0000"
"7310.10.00","8302.30.3010"
"7310.21.00","8302.30.3060"
"7310.29.00","8302.41.3000"
"7311.00.00","8302.41.6015"
"7312.10.05","8302.41.6045"
"7312.10.10","8302.41.6050"
"7312.10.20","8302.41.6080"
"7312.10.30","8302.42.3010"
"7312.10.50","8302.42.3015"
"7312.10.60","8302.42.3065"
"7312.10.70","8302.49.6035"
"7312.10.80","8302.49.6045"
"7312.10.90","8302.49.6055"
"7312.90.00","8302.49.6085"
"7313.00.00","8302.50.0000"
"7314.12.10","8302.60.3000"
"7314.12.20","8302.60.9000"
"7314.12.30","8305.10.0050"
"7314.12.60","8306.30.0000"
"7314.12.90","8414.59.6590"
"7314.14.10","8415.90.8025"
"7314.14.20","8415.90.8045"
"7314.14.30","8415.90.8085"
"7314.14.60","8418.99.8005"
"7314.14.90","8418.99.8050"
"7314.19.01","8418.99.8060"
"7314.20.00","8419.50.5000"
"7314.31.10","8419.90.1000"
"7314.31.50","8422.90.0640"
"7314.39.00","8424.90.9080"
"7314.41.00","8473.30.2000"
"7314.42.00","8473.30.5100"
"7314.49.30","8479.89.9599"
"7314.49.60","8479.90.8500"
"7314.50.00","8479.90.9596"
"7315.11.00","8481.90.9060"
"7315.12.00","8481.90.9085"
"7315.19.00","8486.90.0000"
"7315.20.10","8487.90.0080"
"7315.20.50","8503.00.9520"
"7315.81.00","8508.70.0000"
"7315.82.10","8513.90.2000"
"7315.82.30","8515.90.2000"
"7315.82.50","8516.90.5000"
"7315.82.70","8516.90.8050"
"7315.89.10","8517.71.0000"
"7315.89.30","8517.79.0000"
"7315.89.50","8529.90.7300"
"7315.90.00","8529.90.9760"
"7316.00.00","8536.90.8585"
"7317.00.10","8538.10.0000"
"7317.00.20","8541.90.0000"
"7317.00.55","8543.90.8885"
"7317.00.65","8547.90.0020"
"7317.00.75","8547.90.0030"
"7318.11.00","8547.90.0040"
"7318.12.00","8708.10.3050"
"7318.13.00","8708.10.60"
"7318.14.10","8708.29.5160"
"7318.14.50","8708.80.6590"
"7318.15.20","8708.99.6890"
"7318.15.40","8716.80.5010"
"7318.15.50","8807.30.0060"
"7318.15.60","9013.90.8000"
"7318.15.80","9031.90.9195"
"7318.16.00","9401.99.9081"
"7318.19.00","9403.10.00"
"7318.21.00","9403.20.00"
"7318.22.00","9403.99.1040"
"7318.23.00","9403.99.9010"
"7318.24.00","9403.99.9015"
"7318.29.00","9403.99.9020"
"7319.40.20","9403.99.9040"
"7319.40.30","9403.99.9045"
"7319.40.50","9405.99.4020"
"7319.90.10","9506.11.4080"
"7319.90.90","9506.51.4000"
"7320.10.30","9506.51.6000"
"7320.10.60","9506.59.4040"
"7320.10.90","9506.70.2090"
"7320.20.50","9506.91.0010"
"7320.20.10","9506.91.0020"
"7320.90.10","9506.91.0030"
"7320.90.50","9506.99.0510"
"7321.11.10","9506.99.0520"
"7321.11.30","9506.99.0530"
"7321.11.60","9506.99.1500"
"7321.12.00","9506.99.2000"
"7321.19.00","9506.99.2580"
"7321.81.10","9506.99.2800"
"7321.81.50","9506.99.5500"
"7321.82.10","9506.99.6080"
"7321.82.50","9507.30.2000"
"7321.89.00","9507.30.4000"
"7321.90.10","9507.30.6000"
"7321.90.20","9507.30.8000"
"7321.90.40","9507.90.6000"
"7321.90.50","9603.90.8050"
"7321.90.60","2203.00.0060"
"7322.19.00","2203.00.0090"
"7322.90.00","0402.99.68"
"7323.10.00","0402.99.70"
"7323.93.00","0402.99.90"
"7323.94.00","2106.90.9998"
"7323.99.10","2710.19.3050"
"7323.99.30","2903.43.10"
"7323.99.50","2903.45.10"
"7323.99.90","2903.49.00"
"7323.99.70","2903.51.10"
"7324.10.00","2903.59.90"
"7324.90.00","3004.90.9244"
"7324.29.00","3208.10.00"
"7325.91.00","3208.20.00"
"7325.99.10","3208.90.00"
"7325.99.50","3209.10.00"
"7326.11.00","3209.90.00"
"7326.20.00","3213.90.00"
"7326.19.00","3214.10.00"
"7326.90.10","3303.00.10"
"7326.90.25","3303.00.20"
"7326.90.35","3303.00.30"
"7326.90.45","3304.30.00"
"7326.90.86","3304.99.50"
"7326.90.60","3305.10.00"
"7317.00.5501","3305.30.00"
"7317.00.5502","3305.90.00"
"7317.00.5508","3306.90.00"
"7317.00.5511","3307.10.10"
"7317.00.5518","3307.10.20"
"7317.00.5519","3307.20.00"
"7317.00.5520","3307.49.00"
"7317.00.5530","3307.90.00"
"7317.00.5540","3401.30.10"
"7317.00.5550","3401.30.50"
"7317.00.5570","3402.31.90"
"7317.00.5590","3402.49.90"
"7317.00.6530","3402.50.11"
"7216.91.0010","3402.50.51"
"7302.90.9000","3402.90.10"
"7307.19.30","3402.90.30"
